name,cloneof,description,year,manufacturer
heberpop,,Hebereke no Popoon (Japan),1994,Sunsoft / Atlus
blocken,,Blocken (Japan),1994,KID / Visco
goindol,,Goindol (World),1987,Sun a Electronics
goindolu,goindol,Goindol (US),1987,Sun a Electronics
goindolj,goindol,Goindol (Korea),1987,Sun a Electronics
rranger,,Rough Ranger (v2.0),1988,SunA (Sharp Image license)
sranger,rranger,Super Ranger (v2.0),1988,SunA
srangerb,rranger,Super Ranger (bootleg),1988,bootleg
srangerw,rranger,Super Ranger (WDK),1988,SunA (WDK license)
sparkman,,Spark Man (v 2.0),1989,SunA
hardhead,,Hard Head,1988,SunA
hardhedb,hardhead,Hard Head (bootleg),1988,bootleg
starfigh,,Star Fighter (v1),1990,SunA
hardhea2,,Hard Head 2 (v2.0),1991,SunA
brickzn,,Brick Zone (v5.0),1992,SunA
brickzn3,brickzn,Brick Zone (v3.0),1992,SunA
bssoccer,,Back Street Soccer,1996,SunA
uballoon,,Ultra Balloon,1996,SunA
gundealr,,Gun Dealer (set 1),1990,Dooyong
gundeala,gundealr,Gun Dealer (set 2),19??,Dooyong
gundealt,gundealr,Gun Dealer (Tecmo),1990,Tecmo
yamyam,,Yam! Yam![Q],1990,Dooyong
wiseguy,yamyam,Wise Guy,1990,Dooyong
lastday,,The Last Day (set 1),1990,Dooyong
lastdaya,lastday,The Last Day (set 2),1990,Dooyong
gulfstrm,,Gulf Storm,1991,Dooyong
gulfstr2,gulfstrm,Gulf Storm (Media Shoji),1991,Dooyong (Media Shoji license)
pollux,,Pollux (set 1),1991,Dooyong
polluxa,pollux,Pollux (set 2),1991,Dooyong
flytiger,,Flying Tiger,1992,Dooyong
bluehawk,,Blue Hawk,1993,Dooyong
bluehawn,bluehawk,Blue Hawk (NTC),1993,[Dooyong] (NTC license)
sadari,,Sadari,1993,[Dooyong] (NTC license)
gundl94,,Gun Dealer '94,1994,Dooyong
primella,gundl94,Primella,1994,[Dooyong] (NTC license)
superx,,Super-X (NTC),1994,NTC
superxm,superx,Super-X (Mitchell),1994,Mitchell
rshark,,R-Shark,1995,Dooyong
leprechn,,Leprechaun,1982,Tong Electronic
potogold,leprechn,Pot of Gold,1982,GamePlan
piratetr,,Pirate Treasure,1982,Tong Electronic
beezer,,Beezer (set 1),1982,Tong Electronic
beezer1,beezer,Beezer (set 2),1982,Tong Electronic
pushman,,Pushman,1990,Comad (American Sammy license)
bballs,,Bouncing Balls,1991,Comad
zerozone,,Zero Zone,1993,Comad
lvgirl94,,Las Vegas Girl (Girl '94),1994,Comad
hotpinbl,,Hot Pinball,1995,Comad and New Japan System
galspnbl,,Gals Pinball,1996,Comad
fantasia,,Fantasia,1994,Comad and New Japan System
newfant,,New Fantasia,1995,Comad and New Japan System
fantsy95,,Fantasy '95,1995,Hi-max Technology Inc.
missw96,,Miss World '96 Nude,1996,Comad
fantsia2,,Fantasia II,1997,Comad
galhustl,,Gals Hustler,1997,ACE International
sslam,,Super Slam (set 1),1993,Playmark
sslama,sslam,Super Slam (set 2),1993,Playmark
bigtwin,,Big Twin,1995,Playmark
wbeachvl,,World Beach Volley,1995,Playmark
sharkatt,,Shark Attack,1980,Pacific Novelty
thief,,Thief,1981,Pacific Novelty
natodef,,NATO Defense,1982,Pacific Novelty
natodefa,natodef,NATO Defense (alternate mazes),1982,Pacific Novelty
mrflea,,The Amazing Adventures of Mr. F. Lea,1982,Pacific Novelty
holeland,,Hole Land,1984,Tecfri
crzrally,,Crazy Rally,1985,Tecfri
speedbal,,Speed Ball,1987,Tecfri
sauro,,Sauro,1987,Tecfri
trckydoc,,Tricky Doc,1987,Tecfri
karatour,,The Karate Tournament,1992,Mitchell
ladykill,,Lady Killer,1993?,Yanyaka (Mitchell license)
moegonta,ladykill,Moeyo Gonta!! (Japan),1993?,Yanyaka
pangpoms,,Pang Poms,1992,Metro
pangpomm,pangpoms,Pang Poms (Mitchell),1992,Metro (Mitchell license)
skyalert,,Sky Alert,1992,Metro
poitto,,Poitto!,1993,Metro / Able Corp.
dharma,,Dharma Doujou,1994,Metro
lastfort,,Last Fortress - Toride,1994,Metro
lastfero,lastfort,Last Fortress - Toride (Erotic),1994,Metro
toride2g,,Toride II Adauchi Gaiden,1994,Metro
daitorid,,Daitoride,1995,Metro
dokyusei,,Mahjong Doukyuusei,1995,Make Software / Elf / Media Trading
dokyusp,,Mahjong Doukyuusei Special,1995,Make Software / Elf / Media Trading
puzzli,,Puzzli,1995,Metro / Banpresto
3kokushi,,Sankokushi (Japan),1996,Mitchell
pururun,,Pururun,1995,Metro / Banpresto
balcube,,Bal Cube,1996,Metro
mouja,,Mouja (Japan),1996,Etona
bangball,,Bang Bang Ball (v1.05),1996,Banpresto / Kunihiko Tashiro+Goodhouse
gakusai,,Mahjong Gakuensai (Japan),1997,MakeSoft
gakusai2,,Mahjong Gakuensai 2 (Japan),1998,MakeSoft
gunmast,,Gun Master,1994,Metro
msgogo,,Mouse Shooter GoGo,1995,Metro
blzntrnd,,Blazing Tornado,1994,Human Amusement
gstrik2,,Grand Striker 2 (Japan),1996,Human Amusement
hyprduel,,Hyper Duel (World),1993,Technosoft
hyprdelj,hyprduel,Hyper Duel (Japan),1993,Technosoft
spcforce,,Space Force,1980,Venture Line
spcforc2,spcforce,Space Force (set 2),19??,Elcon (bootleg?)
meteor,spcforce,Meteoroids,1981,Venture Line
looping,,Looping (set 1),1982,Venture Line
loopinga,looping,Looping (set 2),1982,Venture Line
skybump,,Sky Bumper,1982,Venture Line
suprridr,,Super Rider,1983,Venture Line (Taito Corporation license)
paradise,,Paradise,1994+,Yun Sung
tgtball,,Target Ball (Nude),1995,Yun Sung
tgtballa,tgtball,Target Ball,1995,Yun Sung
torus,,Torus,1996,Yun Sung
madball,,Mad Ball V2.0,1998,Yun Sung
madballn,madball,Mad Ball V2.0 (With Nudity),1997,Yun Sung
cannball,,Cannon Ball,1995,Yun Sung / Soft Vision
magix,,Magix - Rock,1995,Yun Sung
magicbub,,Magic Bubble,19??,Yun Sung
shocking,,Shocking,1997,Yun Sung
bombkick,,Bomb Kick,1998,Yun Sung
blueprnt,,Blue Print (Midway),1982,[Zilec Electronics] Bally Midway
blueprnj,blueprnt,Blue Print (Jaleco),1982,[Zilec Electronics] Jaleco
saturn,,Saturn,1983,[Zilec Electronics] Jaleco
gogomile,,Go Go! Mile Smile,1995,Fuuki
gogomilj,gogomile,Susume! Mile Smile (Japan),1995,Fuuki
pbancho,,Gyakuten!! Puzzle Bancho (Japan),1996,Fuuki
asurabld,,Asura Blade - Sword of Dynasty,1998,Fuuki
asurabus,,Asura Buster - Eternal Warriors,2000,Fuuki
drgnmst,,Dragon Master,1994,Unico
mastfury,,Master's Fury,1996,Unico
burglarx,,Burglar X,1997,Unico
zeropnt,,Zero Point (set 1),1998,Unico
zeropnta,zeropnt,Zero Point (set 2),1998,Unico
zeropnt2,,Zero Point 2,1999,Unico
silkroad,,The Legend of Silkroad,1999,Unico
dolmen,,Dolmen,1995,Afega
twinactn,,Twin Action,1995,Afega
stagger1,,Stagger I (Japan),1998,Afega
redhawk,stagger1,Red Hawk (US),1997,Afega
grdnstrm,,Sen Jin - Guardian Storm (Korea),1998,Afega
bubl2000,,Bubble 2000,1998,Tuning
